MODEL_NAME,TASK,BATCH_SIZE,SEQUENCE_LENGTH,CORES,INSTANCES,OLS,MOS,EXTRA,SET_SIZE,PRECISION,OBJECTIVE,THPS,LATENCY
vinai/bertweet-base,question-answering,6,128,2,7,4,1, -multicast-weights,3,fp16,best-throughput,2249.1,56.79
vinai/bertweet-base,default,5,128,1,14,2,1, -multicast-weights,3,fp16,best-throughput,2373.8,89.7
vinai/phobert-base,question-answering,8,128,2,7,4,1, ,2,fp16,best-throughput,2331.7,49.13
vinai/phobert-base,default,10,128,2,7,2,1, ,2,fp16,best-throughput,2325.8,61.06
xlm-roberta-base,question-answering,5,128,1,14,,2, ,3,fp16,best-throughput,2402.6,88.27
xlm-roberta-base,default,8,128,2,7,1,1, -multicast-weights,4,fp16,best-throughput,2473.2,91.12
xlm-roberta-large,question-answering,14,128,7,2,1,1, -multicast-weights,2,fp16,best-throughput,725.3,77.83
xlm-roberta-large,default,6,128,2,7,2,1, -multicast-weights,3,fp16,best-throughput,678.9,188.32
xlm-roberta-large-finetuned-conll03-english,token-classification,9,128,3,4,2,1, -multicast-weights,2,fp16,best-throughput,662.6,109.28
yiyanghkust/finbert-tone,text-classification,4,128,1,14,4,1, -multicast-weights,4,fp16,best-throughput,2391.6,96.4
,,,,,,,,,,,,,
albert-base-v2,question-answering,6,128,2,7,4,1, ,1,fp16,balanced,2108.1,20.25
albert-base-v2,default,6,128,2,7,2,1, -multicast-weights,1,fp16,balanced,2108.3,20.4
allenai/scibert_scivocab_uncased,question-answering,4,128,2,7,4,1, -multicast-weights,1,fp16,balanced,2026.5,14.17
allenai/scibert_scivocab_uncased,default,8,128,2,7,2,1, ,1,fp16,balanced,2215.6,25.88
avichr/heBERT_sentiment_analysis,text-classification,5,128,1,14,1,, ,1,fp16,balanced,2228,31.98
beomi/kcbert-base,question-answering,14,128,2,7,2,1, ,1,fp16,balanced,1926.7,52.36
beomi/kcbert-base,fill-mask,3,128,4,3,2,1, ,2,fp16,balanced,720.1,25.19
bert-base-cased,question-answering,8,128,2,7,4,1, -multicast-weights,1,fp16,balanced,2370,24.03
bert-base-cased,fill-mask,5,128,7,2,2,1, ,2,fp16,balanced,748,27.5
bert-base-chinese,question-answering,8,128,2,7,2,1, ,1,fp16,balanced,2410.5,23.61
bert-base-chinese,fill-mask,12,128,4,3,2,, ,2,fp16,balanced,981.6,73.18
bert-base-german-cased,question-answering,12,128,3,4,,1, ,1,fp16,balanced,2070.4,23.88
bert-base-german-cased,fill-mask,9,128,6,2,1,1, -multicast-weights,2,fp16,balanced,710.7,53.89
bert-base-multilingual-cased,question-answering,6,128,2,7,2,, -multicast-weights,1,fp16,balanced,2061.2,20.91
bert-base-multilingual-cased,fill-mask,11,128,4,3,2,4, -multicast-weights,1,fp16,balanced,99.1,395.06
bert-base-multilingual-uncased,question-answering,14,128,14,1,2,1, -multicast-weights,1,fp16,balanced,1677.5,8.45
bert-base-multilingual-uncased,fill-mask,13,128,6,2,1,6, ,1,fp16,balanced,100.3,267.77
bert-base-uncased,question-answering,8,128,2,7,1,1, -multicast-weights,1,fp16,balanced,2363.4,23.95
bert-base-uncased,fill-mask,9,128,6,2,1,2, -multicast-weights,2,fp16,balanced,702.9,51.99
bert-large-uncased,question-answering,8,128,4,3,1,1, -multicast-weights,1,fp16,balanced,647.5,37.87
bert-large-uncased,fill-mask,4,128,2,7,4,1, -multicast-weights,2,fp16,balanced,519.8,112.25
bert-large-uncased-whole-word-masking-finetuned-squad,question-answering,4,128,2,7,,2, -multicast-weights,1,fp16,balanced,554.1,52.4
bert-large-uncased-whole-word-masking-finetuned-squad,default,4,128,1,14,4,, ,1,fp16,balanced,599.3,98.51
bhadresh-savani/distilbert-base-uncased-emotion,text-classification,5,128,1,14,2,1, ,1,fp16,balanced,4711.9,15.21
camembert-base,question-answering,5,128,1,14,4,, -multicast-weights,1,fp16,balanced,2204.8,32.1
camembert-base,fill-mask,9,128,1,14,1,1, ,1,fp16,balanced,427,372.15
cardiffnlp/twitter-roberta-base-sentiment,text-classification,10,128,2,7,2,1, ,1,fp16,balanced,2399.2,29.61
cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification,10,128,2,7,4,, ,1,fp16,balanced,1927,36.88
ckiplab/albert-tiny-chinese,question-answering,15,128,3,4,1,, ,1,fp16,balanced,13384.3,4.46
ckiplab/albert-tiny-chinese,fill-mask,1,128,3,4,1,1, ,1,fp16,balanced,851.3,5.76
classla/bcms-bertic-ner,token-classification,10,128,2,7,4,1, -multicast-weights,1,fp16,balanced,2076.4,37.24
cl-tohoku/bert-base-japanese,question-answering,10,128,2,7,,1, -multicast-weights,1,fp16,balanced,2206.1,32.4
cl-tohoku/bert-base-japanese,fill-mask,9,128,6,2,1,6, -multicast-weights,2,fp16,balanced,668.9,53.42
cl-tohoku/bert-base-japanese-char,question-answering,10,128,2,7,,1, -multicast-weights,1,fp16,balanced,2445.2,28.98
cl-tohoku/bert-base-japanese-char,fill-mask,5,128,2,7,1,2, ,1,fp16,balanced,1416.5,26.59
cl-tohoku/bert-base-japanese-whole-word-masking,question-answering,16,128,2,7,4,1, ,1,fp16,balanced,2075.8,55.32
cl-tohoku/bert-base-japanese-whole-word-masking,fill-mask,9,128,7,2,4,1, -multicast-weights,2,fp16,balanced,665,53.72
cross-encoder/ms-marco-MiniLM-L-12-v2,text-classification,5,128,1,14,4,, ,1,fp16,balanced,5239.8,13.71
dbmdz/bert-base-italian-xxl-cased,question-answering,8,128,2,7,2,1, ,1,fp16,balanced,2139.4,26.8
dbmdz/bert-base-italian-xxl-cased,fill-mask,8,128,1,14,,1, -multicast-weights,1,fp16,balanced,515,323.35
dbmdz/electra-base-german-europeana-cased-discriminator,question-answering,4,128,1,14,2,2, -multicast-weights,1,fp16,balanced,2356.3,24.49
dbmdz/electra-base-german-europeana-cased-discriminator,default,10,128,2,7,4,1, -multicast-weights,1,fp16,balanced,2168.7,32.82
DeepPavlov/rubert-base-cased-conversational,question-answering,5,128,1,14,4,2, -multicast-weights,1,fp16,balanced,2264.1,31.53
DeepPavlov/rubert-base-cased-conversational,feature-extraction,6,128,1,14,4,, ,1,fp16,balanced,1975.8,44.36
DeepPavlov/rubert-base-cased-sentence,question-answering,5,128,1,14,,2, -multicast-weights,1,fp16,balanced,2211.8,32.25
DeepPavlov/rubert-base-cased-sentence,feature-extraction,4,128,1,14,,, ,1,fp16,balanced,2021.2,31.89
deepset/roberta-base-squad2,question-answering,5,128,1,14,1,2, ,1,fp16,balanced,2307.8,30.7
deepset/xlm-roberta-large-squad2,question-answering,8,128,2,7,,, ,1,fp16,balanced,557,102.28
distilbert-base-cased,question-answering,3,128,1,14,4,1, -multicast-weights,1,fp16,balanced,3782,11.87
distilbert-base-cased,default,5,128,1,14,1,1, ,1,fp16,balanced,3883.9,18.58
distilbert-base-cased-distilled-squad,question-answering,10,128,2,7,,1, ,1,fp16,balanced,4282.6,16.69
distilbert-base-german-cased,question-answering,8,128,6,2,2,, ,1,fp16,balanced,2437.7,6.64
distilbert-base-german-cased,fill-mask,1,128,1,14,4,1, -multicast-weights,1,fp16,balanced,552.5,37.96
distilbert-base-multilingual-cased,question-answering,3,128,2,7,4,1, ,1,fp16,balanced,2901.8,7.55
distilbert-base-multilingual-cased,fill-mask,10,128,7,2,4,1, ,1,fp16,balanced,89.7,237.26
distilbert-base-uncased,question-answering,5,128,1,14,,, -multicast-weights,1,fp16,balanced,4694.7,15.13
distilbert-base-uncased-distilled-squad,question-answering,6,128,2,7,4,1, ,1,fp16,balanced,4214.1,10.11
distilbert-base-uncased-finetuned-sst-2-english,text-classification,8,128,2,7,2,, -multicast-weights,1,fp16,balanced,3822.6,16.17
distilbert-base-uncased-finetuned-sst-2-english,question-answering,10,128,2,7,2,1, ,1,fp16,balanced,4507.2,15.79
distilroberta-base,question-answering,5,128,2,7,2,1, ,1,fp16,balanced,3659.4,9.75
distilroberta-base,fill-mask,10,128,1,14,2,1, -multicast-weights,1,fp16,balanced,279.9,629.14
dslim/bert-base-NER,token-classification,7,128,2,7,1,1, ,1,fp16,balanced,2018,24.7
dslim/bert-base-NER-uncased,token-classification,5,128,1,14,4,1, -multicast-weights,1,fp16,balanced,2073.4,34.61
emilyalsentzer/Bio_ClinicalBERT,question-answering,6,128,1,14,1,1, ,1,fp16,balanced,1949.3,45.92
emilyalsentzer/Bio_ClinicalBERT,fill-mask,11,128,7,2,1,1, -multicast-weights,2,fp16,balanced,742.6,61.88
finiteautomata/beto-sentiment-analysis,text-classification,5,128,1,14,2,1, ,1,fp16,balanced,2399.4,30.63
google/bert_uncased_L-2_H-128_A-2,question-answering,14,128,1,14,2,1, -multicast-weights,1,fp16,balanced,132797.1,1.62
google/bert_uncased_L-2_H-128_A-2,default,12,128,1,14,2,, ,1,fp16,balanced,98511.3,1.85
google/electra-base-discriminator,question-answering,5,128,1,14,1,2, ,1,fp16,balanced,2099.8,38.82
google/electra-small-discriminator,question-answering,12,128,1,14,4,, -multicast-weights,1,fp16,balanced,11764.1,14.89
google/electra-small-discriminator,default,9,128,1,14,4,2, -multicast-weights,1,fp16,balanced,11318.7,11.37
hfl/chinese-bert-wwm-ext,question-answering,4,128,1,14,4,1, ,1,fp16,balanced,2028.8,31.62
hfl/chinese-bert-wwm-ext,fill-mask,7,128,3,4,1,3, -multicast-weights,2,fp16,balanced,972.8,57.74
hfl/chinese-electra-180g-base-discriminator,question-answering,5,128,2,7,,2, -multicast-weights,1,fp16,balanced,1789.9,20.18
hfl/chinese-electra-180g-base-discriminator,default,8,128,1,14,4,1, ,1,fp16,balanced,1897.7,61.23
hfl/chinese-roberta-wwm-ext,question-answering,10,128,2,7,2,1, -multicast-weights,1,fp16,balanced,2083.7,37.39
hfl/chinese-roberta-wwm-ext,fill-mask,5,128,1,14,1,1, ,1,fp16,balanced,737.4,154.2
kit-nlp/bert-base-japanese-sentiment-cyberbullying,question-answering,5,128,1,14,1,1, -multicast-weights,1,fp16,balanced,2241.7,31.81
kit-nlp/bert-base-japanese-sentiment-cyberbullying,default,7,128,1,14,1,, ,1,fp16,balanced,1848.8,54.73
klue/bert-base,question-answering,5,128,1,14,,2, ,1,fp16,balanced,2326.6,30.51
klue/bert-base,fill-mask,3,128,1,14,1,, -multicast-weights,1,fp16,balanced,534.5,108.79
m3hrdadfi/bert-fa-base-uncased-wikinli,text-classification,8,128,2,7,,1, -multicast-weights,1,fp16,balanced,2302.5,24.71
m3hrdadfi/bert-fa-base-uncased-wikinli,question-answering,8,128,2,7,1,, -multicast-weights,1,fp16,balanced,2015.8,28.36
Maltehb/danish-bert-botxo,question-answering,4,128,2,7,1,1, ,1,fp16,balanced,2194.6,13.01
Maltehb/danish-bert-botxo,fill-mask,8,128,7,2,2,1, -multicast-weights,2,fp16,balanced,666.4,48.57
microsoft/codebert-base,question-answering,3,128,2,7,1,, ,1,fp16,balanced,1631.6,13.3
microsoft/codebert-base,feature-extraction,3,128,1,14,,2, ,1,fp16,balanced,1973.4,22.48
microsoft/deberta-v3-base,question-answering,8,128,4,3,4,1, -multicast-weights,1,fp16,balanced,1253.1,20.15
microsoft/deberta-v3-base,fill-mask,6,128,6,2,2,1, -multicast-weights,1,fp16,balanced,81.6,151.67
microsoft/deberta-v3-small,question-answering,6,128,3,4,,2, ,1,fp16,balanced,1815.7,13.61
microsoft/deberta-v3-small,fill-mask,5,128,7,2,2,1, ,2,fp16,balanced,158.2,123.73
monologg/bert-base-cased-goemotions-original,default,5,128,2,7,,, -multicast-weights,1,fp16,balanced,1682.3,21.26
mrm8488/bert-spanish-cased-finetuned-ner,token-classification,5,128,1,14,1,1, -multicast-weights,1,fp16,balanced,2280.8,31.04
nlptown/bert-base-multilingual-uncased-sentiment,text-classification,10,128,2,7,,1, -multicast-weights,1,fp16,balanced,2304.6,31.06
prajjwal1/bert-mini,question-answering,8,128,1,14,1,, -multicast-weights,1,fp16,balanced,33702.5,3.39
prajjwal1/bert-mini,default,12,128,1,14,4,2, -multicast-weights,1,fp16,balanced,30756.1,5.74
prajjwal1/bert-tiny,question-answering,16,128,1,14,2,, -multicast-weights,1,fp16,balanced,134589.4,1.76
prajjwal1/bert-tiny,default,13,128,1,14,2,1, ,1,fp16,balanced,108375.3,1.91
ProsusAI/finbert,text-classification,5,128,2,7,2,1, ,1,fp16,balanced,1967,18.06
roberta-base,question-answering,5,128,1,14,4,1, ,1,fp16,balanced,2319.5,30.83
roberta-base,fill-mask,6,128,7,2,4,1, ,2,fp16,balanced,426.1,57.96
roberta-large,question-answering,14,128,7,2,4,1, -multicast-weights,1,fp16,balanced,696.2,41.09
roberta-large,fill-mask,9,128,2,7,1,2, -multicast-weights,1,fp16,balanced,192.5,392.13
